generation,generation_best_loss,cumulative_best_loss,convergence,eval_count
1,86.68258725207593,86.68258725207593,0.00015514452010833413,145
2,86.68258725207593,86.68258725207593,0.00017548580854597525,218
3,86.68258725207593,86.68258725207593,0.00017665439283369016,291
4,71.3524329928853,71.3524329928853,0.00017455087594337931,364
5,71.3524329928853,71.3524329928853,0.0001950653083339925,437
6,18.76383464811617,18.76383464811617,0.00017862552271254205,510
7,18.76383464811617,18.76383464811617,0.00018232489379576156,583
8,16.961077450967892,16.961077450967892,0.00016044127824909192,656
9,16.961077450967892,16.961077450967892,0.00015178404461937506,729
10,16.961077450967892,16.961077450967892,0.0001459052498441913,802
11,16.961077450967892,16.961077450967892,0.0001431591909297227,875
12,16.961077450967892,16.961077450967892,0.00016253599758591432,948
13,13.315389077907364,13.315389077907364,0.00020247041055918667,1021
14,13.315389077907364,13.315389077907364,0.00019871317127351967,1094
15,6.003536306912948,6.003536306912948,0.00020688485205510272,1167
