generation,generation_best_loss,cumulative_best_loss,convergence,eval_count
1,0.2662188891699804,0.2662188891699804,0.0001504697058773469,225
2,0.2345525571775829,0.2345525571775829,0.00016628779514508003,338
3,0.19011491941406466,0.19011491941406466,0.00018914981124599397,451
4,0.19011491941406466,0.19011491941406466,0.0002144942869576979,564
5,0.11119933928081423,0.11119933928081423,0.00019981302506153883,677
6,0.11119933928081423,0.11119933928081423,0.0002480059030083696,790
7,0.11119933928081423,0.11119933928081423,0.0002530976879762381,903
8,0.0767844069347821,0.0767844069347821,0.00025836864806678413,1016
9,0.0767844069347821,0.0767844069347821,0.00026286483307958077,1129
10,0.0767844069347821,0.0767844069347821,0.0002353919287825418,1242
11,0.07420540697973745,0.07420540697973745,0.00027959754853616503,1355
12,0.07420540697973745,0.07420540697973745,0.00028928608118356815,1468
13,0.07420540697973745,0.07420540697973745,0.00029677565010901875,1581
14,0.07420540697973745,0.07420540697973745,0.0002912221131988754,1694
15,0.07420540697973745,0.07420540697973745,0.000316416670425248,1807
16,0.07420540697973745,0.07420540697973745,0.00033349817516101986,1920
17,0.053865736169858604,0.053865736169858604,0.0003373742848478528,2033
18,0.04324217780509173,0.04324217780509173,0.0003281388819020099,2146
19,0.04324217780509173,0.04324217780509173,0.00033194229011726127,2259
20,0.04324217780509173,0.04324217780509173,0.0003242841834805295,2372
21,0.04324217780509173,0.04324217780509173,0.0003303080576476307,2485
22,0.04324217780509173,0.04324217780509173,0.00033526158505598635,2598
23,0.04324217780509173,0.04324217780509173,0.00034581352590600797,2711
24,0.04324217780509173,0.04324217780509173,0.00037313826718872255,2824
25,0.04324217780509173,0.04324217780509173,0.0003765711768703393,2937
26,0.04324217780509173,0.04324217780509173,0.0003984427829748928,3050
27,0.04324217780509173,0.04324217780509173,0.00041182103862926937,3163
28,0.04324217780509173,0.04324217780509173,0.0004210197316339559,3276
29,0.03633656796164293,0.03633656796164293,0.00041440432125328103,3389
30,0.03633656796164293,0.03633656796164293,0.0004046463887405644,3502
31,0.03633656796164293,0.03633656796164293,0.00040022057986521115,3615
32,0.03633656796164293,0.03633656796164293,0.00038280344844789007,3728
33,0.03633656796164293,0.03633656796164293,0.0003745325316410922,3841
34,0.03633656796164293,0.03633656796164293,0.00037147502926604013,3954
35,0.03633656796164293,0.03633656796164293,0.0003666432915844692,4067
36,0.03633656796164293,0.03633656796164293,0.0003736753953510467,4180
37,0.03633656796164293,0.03633656796164293,0.0003773052039308052,4293
38,0.03633656796164293,0.03633656796164293,0.0003766102633261798,4406
39,0.03633656796164293,0.03633656796164293,0.00038153639456685903,4519
40,0.03633656796164293,0.03633656796164293,0.0003655991708155492,4632
41,0.03633656796164293,0.03633656796164293,0.00036409354260178963,4745
42,0.03391123880408902,0.03391123880408902,0.0003699534335899072,4858
43,0.03391123880408902,0.03391123880408902,0.00038048906371176576,4971
44,0.03391123880408902,0.03391123880408902,0.00037922208759411726,5084
45,0.03391123880408902,0.03391123880408902,0.0003681460861589247,5197
46,0.03391123880408902,0.03391123880408902,0.00036895115656664063,5310
47,0.03391123880408902,0.03391123880408902,0.0003765772904489042,5423
48,0.03329779576236069,0.03329779576236069,0.00036170522399886447,5536
49,0.03329779576236069,0.03329779576236069,0.0003605134764448906,5649
50,0.03329779576236069,0.03329779576236069,0.0003677586780667678,5762
51,0.03329779576236069,0.03329779576236069,0.00036979274887433117,5875
52,0.03329779576236069,0.03329779576236069,0.00036535353885959774,5988
53,0.03329779576236069,0.03329779576236069,0.0003658508179564328,6101
54,0.03329779576236069,0.03329779576236069,0.00037268702935286656,6214
55,0.03329779576236069,0.03329779576236069,0.00037303236873510595,6327
56,0.03329779576236069,0.03329779576236069,0.00037159106330216955,6440
57,0.03329779576236069,0.03329779576236069,0.0003785309916041737,6553
58,0.03329779576236069,0.03329779576236069,0.00039622438419334015,6666
