generation,generation_best_loss,cumulative_best_loss,convergence,eval_count
1,0.40805173155843116,0.40805173155843116,0.00016546145640729482,181
2,0.40805173155843116,0.40805173155843116,0.00016348010961294657,272
3,0.40805173155843116,0.40805173155843116,0.00015124267291323775,363
4,0.40805173155843116,0.40805173155843116,0.00016960773919091681,454
5,0.40805173155843116,0.40805173155843116,0.0001906534532004782,545
6,0.26572946730832875,0.26572946730832875,0.00019485869695434497,636
7,0.26572946730832875,0.26572946730832875,0.00018285111024649096,727
8,0.26572946730832875,0.26572946730832875,0.00017920887421360391,818
9,0.17513617397500977,0.17513617397500977,0.00017483082061306673,909
10,0.16448863978304232,0.16448863978304232,0.00016324428460114885,1000
11,0.1425153063384762,0.1425153063384762,0.00020973847483644445,1091
12,0.1425153063384762,0.1425153063384762,0.00023289083136624833,1182
13,0.11645567967277257,0.11645567967277257,0.00021846107568236004,1273
14,0.11645567967277257,0.11645567967277257,0.00023148367429746652,1364
15,0.11645567967277257,0.11645567967277257,0.00022206633436536963,1455
16,0.09282157930935367,0.09282157930935367,0.0002162873997101134,1546
17,0.09282157930935367,0.09282157930935367,0.0002312171042909204,1637
18,0.09282157930935367,0.09282157930935367,0.00021897896969366864,1728
19,0.09282157930935367,0.09282157930935367,0.00021969550569252852,1819
20,0.09282157930935367,0.09282157930935367,0.00021808596445402426,1910
21,0.06805739531440573,0.06805739531440573,0.00021748396664614174,2001
22,0.06805739531440573,0.06805739531440573,0.00021620982243570914,2092
23,0.06805739531440573,0.06805739531440573,0.00021648373649925103,2183
24,0.06805739531440573,0.06805739531440573,0.00022059089772220612,2274
25,0.06805739531440573,0.06805739531440573,0.00029278167797266145,2365
26,0.06805739531440573,0.06805739531440573,0.0003420303581657163,2456
27,0.06805739531440573,0.06805739531440573,0.0003538299631846735,2547
28,0.06805739531440573,0.06805739531440573,0.0003485811132443099,2638
29,0.06805739531440573,0.06805739531440573,0.00035583215713873685,2729
30,0.06805739531440573,0.06805739531440573,0.0003582424734594598,2820
31,0.06805739531440573,0.06805739531440573,0.00037229408081835067,2911
32,0.06805739531440573,0.06805739531440573,0.00037592910629638895,3002
33,0.06805739531440573,0.06805739531440573,0.0003764778150960795,3093
34,0.06805739531440573,0.06805739531440573,0.00036737688517655905,3184
35,0.06805739531440573,0.06805739531440573,0.0003733446682279424,3275
36,0.06805739531440573,0.06805739531440573,0.0003806535842644156,3366
37,0.06805739531440573,0.06805739531440573,0.00038748572427117376,3457
38,0.06805739531440573,0.06805739531440573,0.000389165465992698,3548
39,0.06805739531440573,0.06805739531440573,0.0003860503478512116,3639
40,0.06805739531440573,0.06805739531440573,0.0003780218118777229,3730
41,0.06805739531440573,0.06805739531440573,0.0003745539780496854,3821
42,0.06805739531440573,0.06805739531440573,0.00037759595906998374,3912
43,0.06805739531440573,0.06805739531440573,0.0003780236258087264,4003
44,0.06805739531440573,0.06805739531440573,0.00037053437130138856,4094
45,0.06805739531440573,0.06805739531440573,0.0003881248164898803,4185
