generation,generation_best_loss,cumulative_best_loss,convergence,eval_count
1,0.202569925036899,0.202569925036899,0.00012777854220476548,113
2,0.202569925036899,0.202569925036899,0.0001802221120421506,170
3,0.202569925036899,0.202569925036899,0.00019202122233897157,227
4,0.202569925036899,0.202569925036899,0.0002161038874601417,284
5,0.18419848040535622,0.18419848040535622,0.00020336972283949115,341
6,0.18419848040535622,0.18419848040535622,0.00020175288409142694,398
7,0.17442593724390446,0.17442593724390446,0.0002491300626926608,455
8,0.17442593724390446,0.17442593724390446,0.00028809805892477823,512
9,0.17442593724390446,0.17442593724390446,0.0003697476565434893,569
10,0.17442593724390446,0.17442593724390446,0.0003760370591157692,626
11,0.14977508950888305,0.14977508950888305,0.00037275443797187756,683
12,0.14977508950888305,0.14977508950888305,0.000389876448800987,740
13,0.14977508950888305,0.14977508950888305,0.00039344903302327073,797
14,0.14977508950888305,0.14977508950888305,0.00042195936751227887,854
15,0.14977508950888305,0.14977508950888305,0.0004955912424538637,911
