generation,generation_best_loss,cumulative_best_loss,convergence,eval_count
1,0.317973992059818,0.317973992059818,0.00010827076244662064,225
2,0.317973992059818,0.317973992059818,0.0001282563491681458,338
3,0.317973992059818,0.317973992059818,0.0002142840950283667,451
4,0.25889630038718625,0.25889630038718625,0.0002362121999619768,564
5,0.25889630038718625,0.25889630038718625,0.00026821168850431045,677
6,0.25889630038718625,0.25889630038718625,0.00030566192315502273,790
7,0.25889630038718625,0.25889630038718625,0.0003263242035342832,903
8,0.2277016828997033,0.2277016828997033,0.000436754523194972,1016
9,0.2277016828997033,0.2277016828997033,0.00044560013429702905,1129
10,0.2277016828997033,0.2277016828997033,0.000470470207567526,1242
11,0.22245341492755671,0.22245341492755671,0.0004601911834691027,1355
12,0.22052707552819784,0.22052707552819784,0.0005112985402695344,1468
13,0.22052707552819784,0.22052707552819784,0.0005110641556614452,1581
14,0.22052707552819784,0.22052707552819784,0.0005466276208461158,1694
15,0.2107089231595456,0.2107089231595456,0.0005686927642655042,1807
16,0.2107089231595456,0.2107089231595456,0.0005448768277380946,1920
17,0.1998995797735073,0.1998995797735073,0.0005384436212161473,2033
18,0.1998995797735073,0.1998995797735073,0.0005530461866678273,2146
19,0.1998995797735073,0.1998995797735073,0.0005548744152895736,2259
20,0.19752017793651394,0.19752017793651394,0.0005354532713207688,2372
21,0.19752017793651394,0.19752017793651394,0.0005509591082060426,2485
22,0.19752017793651394,0.19752017793651394,0.0005598659791616217,2598
23,0.19752017793651394,0.19752017793651394,0.0005980018642493185,2711
24,0.19752017793651394,0.19752017793651394,0.0006051429934047261,2824
25,0.19513314827632466,0.19513314827632466,0.0006064066515580831,2937
26,0.19513314827632466,0.19513314827632466,0.0006383798754692445,3050
27,0.19513314827632466,0.19513314827632466,0.0006487390553109702,3163
28,0.19513314827632466,0.19513314827632466,0.0006482347698633547,3276
29,0.19513314827632466,0.19513314827632466,0.000646044340792475,3389
30,0.19513314827632466,0.19513314827632466,0.0006573747314060718,3502
31,0.19513314827632466,0.19513314827632466,0.0006574070979365577,3615
32,0.11599467008980796,0.11599467008980796,0.0006178036816463304,3728
33,0.11599467008980796,0.11599467008980796,0.0006987620521925104,3841
34,0.11599467008980796,0.11599467008980796,0.0007196666106603955,3954
35,0.11599467008980796,0.11599467008980796,0.0007452063870768858,4067
36,0.11599467008980796,0.11599467008980796,0.000781159367183108,4180
37,0.10651299022730802,0.10651299022730802,0.0007168222444179395,4293
38,0.10651299022730802,0.10651299022730802,0.0007454564334086936,4406
39,0.10651299022730802,0.10651299022730802,0.0007519245028814334,4519
40,0.10651299022730802,0.10651299022730802,0.0007657952448952338,4632
41,0.10651299022730802,0.10651299022730802,0.000768245352652249,4745
42,0.10651299022730802,0.10651299022730802,0.000784108853466014,4858
43,0.10651299022730802,0.10651299022730802,0.0007905748530117632,4971
44,0.10651299022730802,0.10651299022730802,0.0007880425644629149,5084
45,0.10651299022730802,0.10651299022730802,0.0007029993934237904,5197
46,0.10651299022730802,0.10651299022730802,0.0006789332398117236,5310
47,0.10651299022730802,0.10651299022730802,0.0006725763176555949,5423
48,0.10651299022730802,0.10651299022730802,0.0006494597119477488,5536
49,0.10651299022730802,0.10651299022730802,0.0006489093905057766,5649
50,0.10651299022730802,0.10651299022730802,0.0006544430458542884,5762
51,0.10651299022730802,0.10651299022730802,0.0006585433635418157,5875
52,0.10651299022730802,0.10651299022730802,0.0006539052417096698,5988
53,0.10651299022730802,0.10651299022730802,0.0006416703225585095,6101
54,0.10651299022730802,0.10651299022730802,0.0006532355352622517,6214
55,0.10651299022730802,0.10651299022730802,0.0006473276218373521,6327
56,0.10651299022730802,0.10651299022730802,0.0006422870962860736,6440
57,0.10651299022730802,0.10651299022730802,0.0006405809048991995,6553
58,0.10651299022730802,0.10651299022730802,0.0006418957865912761,6666
59,0.10651299022730802,0.10651299022730802,0.0006100657882833467,6779
60,0.09039005798841103,0.09039005798841103,0.000588389938145408,6892
61,0.09039005798841103,0.09039005798841103,0.000598899698251711,7005
62,0.09039005798841103,0.09039005798841103,0.0006098976982348669,7118
63,0.09039005798841103,0.09039005798841103,0.000606476457397872,7231
64,0.09039005798841103,0.09039005798841103,0.0005987581304606717,7344
65,0.09039005798841103,0.09039005798841103,0.0005779808170923625,7457
66,0.09039005798841103,0.09039005798841103,0.0005725798901285997,7570
67,0.08676658345890001,0.08676658345890001,0.0005507801540879727,7683
68,0.08676658345890001,0.08676658345890001,0.0005611491940869095,7796
