generation,generation_best_loss,cumulative_best_loss,convergence,eval_count
1,105.14954456679347,105.14954456679347,0.00011573131520494843,145
2,105.14954456679347,105.14954456679347,0.00011656080494984882,218
3,96.53301389089029,96.53301389089029,0.00012865952044487604,291
4,64.50738384297556,64.50738384297556,0.00011954692877624302,364
5,62.60441830444382,62.60441830444382,0.0001437612182701706,437
6,59.254578551659286,59.254578551659286,0.00017220705674600442,510
7,13.360205037946365,13.360205037946365,0.0001405917470488677,583
8,13.360205037946365,13.360205037946365,0.00014492993605987267,656
9,13.360205037946365,13.360205037946365,0.00014038851890462638,729
10,13.360205037946365,13.360205037946365,0.0001548496584656558,802
11,13.360205037946365,13.360205037946365,0.00017760448514072793,875
12,12.380505888535717,12.380505888535717,0.00018780851058798463,948
13,12.380505888535717,12.380505888535717,0.00018150462506734858,1021
14,12.380505888535717,12.380505888535717,0.00017094350260394935,1094
15,12.380505888535717,12.380505888535717,0.00019230231653658217,1167
