generation,generation_best_loss,cumulative_best_loss,convergence,eval_count
1,1.0355911473830322,1.0355911473830322,0.00016828353710497806,181
2,0.8622738715372706,0.8622738715372706,0.00016360393470285736,272
3,0.3446877541220413,0.3446877541220413,0.0001637227929081877,363
4,0.26846282770608737,0.26846282770608737,0.00015392658021223357,454
5,0.26846282770608737,0.26846282770608737,0.00013951466557931663,545
6,0.26846282770608737,0.26846282770608737,0.000109876632485274,636
7,0.12222241940592429,0.12222241940592429,0.0001576560636189285,727
8,0.12222241940592429,0.12222241940592429,0.0001693819704078507,818
9,0.12222241940592429,0.12222241940592429,0.00016822763078132473,909
10,0.12222241940592429,0.12222241940592429,0.00016959894607498007,1000
11,0.12222241940592429,0.12222241940592429,0.00019398920167411023,1091
12,0.12222241940592429,0.12222241940592429,0.00020735015962350254,1182
13,0.12222241940592429,0.12222241940592429,0.00020444851601272504,1273
14,0.12222241940592429,0.12222241940592429,0.0002317196921132379,1364
15,0.12222241940592429,0.12222241940592429,0.00025848279961083705,1455
16,0.12222241940592429,0.12222241940592429,0.00026161146073369623,1546
17,0.12222241940592429,0.12222241940592429,0.0002552351620779429,1637
18,0.12222241940592429,0.12222241940592429,0.000263925734009182,1728
19,0.12222241940592429,0.12222241940592429,0.00026310451673294875,1819
20,0.12222241940592429,0.12222241940592429,0.0002472071980533001,1910
21,0.11213771058482559,0.11213771058482559,0.00024686694184101863,2001
22,0.11213771058482559,0.11213771058482559,0.0002597569080816999,2092
23,0.11213771058482559,0.11213771058482559,0.0002625463978034412,2183
24,0.11213771058482559,0.11213771058482559,0.0002659464661832712,2274
25,0.11213771058482559,0.11213771058482559,0.0002696334438653662,2365
26,0.11213771058482559,0.11213771058482559,0.00027271884648159014,2456
27,0.11213771058482559,0.11213771058482559,0.0002703309947920086,2547
28,0.11213771058482559,0.11213771058482559,0.0002810558029575656,2638
29,0.06727847802390277,0.06727847802390277,0.0002774240003278733,2729
30,0.06727847802390277,0.06727847802390277,0.0002898724977270124,2820
31,0.06727847802390277,0.06727847802390277,0.00031844265225341946,2911
32,0.06727847802390277,0.06727847802390277,0.00032162271800377295,3002
33,0.06727847802390277,0.06727847802390277,0.0003384701037436283,3093
34,0.0626695713815619,0.0626695713815619,0.00033289375813940766,3184
35,0.0626695713815619,0.0626695713815619,0.00032682813885351943,3275
36,0.0626695713815619,0.0626695713815619,0.00032464440628312023,3366
37,0.0626695713815619,0.0626695713815619,0.00032281873037690105,3457
38,0.0626695713815619,0.0626695713815619,0.0003169575078795932,3548
39,0.0626695713815619,0.0626695713815619,0.00031947254168243286,3639
40,0.0626695713815619,0.0626695713815619,0.0003041272921560837,3730
41,0.05794768481017049,0.05794768481017049,0.0003019265287743109,3821
42,0.05794768481017049,0.05794768481017049,0.00030870973223775936,3912
43,0.05794768481017049,0.05794768481017049,0.0003372668129162356,4003
44,0.05794768481017049,0.05794768481017049,0.0003362276172676466,4094
45,0.05794768481017049,0.05794768481017049,0.0003363718539224185,4185
