generation,generation_best_loss,cumulative_best_loss,convergence,eval_count
1,0.4474551455563373,0.4474551455563373,0.0001455304078315417,181
2,0.31513466814137436,0.31513466814137436,0.00013762448434707293,272
3,0.18991164091106472,0.18991164091106472,0.00014145657363214724,363
4,0.18991164091106472,0.18991164091106472,0.00014992198067695868,454
5,0.18991164091106472,0.18991164091106472,0.00016078456639289965,545
6,0.18991164091106472,0.18991164091106472,0.0001619853376573009,636
7,0.18991164091106472,0.18991164091106472,0.00019887686162793603,727
8,0.18991164091106472,0.18991164091106472,0.0002178845729196473,818
9,0.12783696016642865,0.12783696016642865,0.00022679991617357428,909
10,0.12783696016642865,0.12783696016642865,0.00026954824461799273,1000
11,0.12783696016642865,0.12783696016642865,0.0002622997098024887,1091
12,0.12783696016642865,0.12783696016642865,0.00028161724856698466,1182
13,0.1161148487754508,0.1161148487754508,0.000305412684432692,1273
14,0.1161148487754508,0.1161148487754508,0.0003073764676716404,1364
15,0.093747925907387,0.093747925907387,0.00029437263287689146,1455
16,0.093747925907387,0.093747925907387,0.0003084413476402311,1546
17,0.093747925907387,0.093747925907387,0.00032378899609790797,1637
18,0.093747925907387,0.093747925907387,0.0003296206825066594,1728
19,0.06478397663680746,0.06478397663680746,0.00030499452429350233,1819
20,0.06478397663680746,0.06478397663680746,0.00031022996678716446,1910
21,0.06478397663680746,0.06478397663680746,0.0003098294419202894,2001
22,0.06478397663680746,0.06478397663680746,0.0003141128199010042,2092
23,0.06478397663680746,0.06478397663680746,0.0003141676849073124,2183
24,0.06478397663680746,0.06478397663680746,0.00031515694686419266,2274
25,0.06478397663680746,0.06478397663680746,0.0003288409851555409,2365
26,0.06478397663680746,0.06478397663680746,0.00033509747633421943,2456
27,0.06478397663680746,0.06478397663680746,0.0003355452261858069,2547
28,0.05779544945980859,0.05779544945980859,0.00032338261219119703,2638
29,0.05779544945980859,0.05779544945980859,0.0003202900089958593,2729
30,0.05779544945980859,0.05779544945980859,0.00032173485905015003,2820
31,0.05779544945980859,0.05779544945980859,0.0003209521774878586,2911
32,0.05779544945980859,0.05779544945980859,0.0003173675888771837,3002
33,0.05779544945980859,0.05779544945980859,0.000314078228029796,3093
34,0.0575885176664343,0.0575885176664343,0.00031319046624028756,3184
35,0.0575885176664343,0.0575885176664343,0.00032181711290898946,3275
36,0.0575885176664343,0.0575885176664343,0.00032180352345934034,3366
37,0.0575885176664343,0.0575885176664343,0.00031464259231017564,3457
38,0.0575885176664343,0.0575885176664343,0.00032143944039071594,3548
39,0.0575885176664343,0.0575885176664343,0.0003147403144345143,3639
40,0.0575885176664343,0.0575885176664343,0.00032560227005160947,3730
41,0.0575885176664343,0.0575885176664343,0.00031788241277866863,3821
42,0.0575885176664343,0.0575885176664343,0.0003193195829366797,3912
43,0.0575885176664343,0.0575885176664343,0.0003219375337243621,4003
44,0.0575885176664343,0.0575885176664343,0.00032929882661498653,4094
45,0.0575885176664343,0.0575885176664343,0.0003274357418644903,4185
