detour_error,direction_error,endpoint_error,eval,feature_loss,feature_rmse,flow_boundness_abs_error,flow_boundness_error,flow_boundness_target,flow_boundness_value,joint_limit_error,joint_preservation_error,log_speed_range,max_dev_error,nearest_path_max_dist,nearest_path_mse,out_of_range_error,path_length_error,path_length_ratio,pointwise_cart_mse,ref_path_length,shape_arcness_abs_error,shape_arcness_error,shape_arcness_target,shape_arcness_value,smoothness_error,space_indirectness_abs_error,space_indirectness_error,space_indirectness_target,space_indirectness_value,spatial_coeff_error,spatial_path_length,spatial_path_length_error,spatial_path_length_ratio,time_abs_error,time_error,time_roughness,time_target,time_value,time_warp_deviation,timing_coeff_error,total_loss,valid_candidate,var_path_length,weight_abs_error,weight_error,weight_target,weight_value,weighted_detour,weighted_direction,weighted_endpoint,weighted_feature_loss,weighted_feature_rmse,weighted_joint_limits,weighted_joint_preservation,weighted_max_deviation,weighted_nearest_path,weighted_out_of_range,weighted_path_length,weighted_smoothness,weighted_spatial_coefficients,weighted_time_roughness,weighted_time_warp,weighted_timing_coefficients,weighted_total_loss
0.3153340561688729,0.0,0.03660128641116352,25,1.2911827221882521,1.2911827234794349,0.6130923130240596,0.6130923130240596,0.4445748832515285,1.0576671962755881,0.0,0.024283773659735185,2.9882185267795593,0.021149041184238233,0.22542709920863524,0.012410136208886278,0.9808566295647421,0.9245709602051269,1.9615461300453176,0.025536960728180107,0.71607191035249,0.6676709354847654,-0.6676709354847654,0.6425340343882818,-0.02513690109648355,0.40431036548081734,0.4493295955678809,0.4493295955678809,0.2679221026437201,0.717251698211601,0.40411484419742105,1.406035060613147,0.9284071843721483,1.963538885760273,1.2116035136222485,1.2116035136222485,5.531901815622728e-05,0.8990831368330093,2.110686650455258,2.608356742101351e-05,0.4070271679055396,8.668769622342415,True,1.4046081042015457,2.417481603860428,2.417481603860428,0.49738156174727904,2.914863165607707,1.2613362246754916,0.0,0.0073202572822327035,1.2911827221882521,1.2911827221882521,0.0,0.012141886829867592,0.1268942471054294,0.14892163450663534,0.24521415739118552,5.547425761230761,0.020215518274040868,0.00404114844197421,5.531901815622728e-06,2.608356742101351e-07,0.004070271679055396,8.668769622342415
0.1047167679324226,0.0,0.058177762372207655,50,3.0875837283594634,3.0875837314470473,1.4902159368480397,1.4902159368480397,0.4445748832515285,1.934790820099568,5.873540234731401e-05,0.022089331599733225,4.496323751402165,0.0024893348505416464,0.1298932345167323,0.0005282515254340517,7.97120838759303,0.5235965305187446,1.7235997032329025,0.010462417783379713,0.71607191035249,0.48938109960467335,-0.48938109960467335,0.6425340343882818,0.1531529347836085,0.9272960804775123,0.7520149375231041,0.7520149375231041,0.2679221026437201,1.0199370401668242,0.4697380588276439,1.2373984439327452,0.5300372041763979,1.7280365404129094,4.431066056186163,4.431066056186163,0.0002084054288909319,0.8990831368330093,5.330149193019172,6.182657324543151e-05,0.3007062064146454,8.739171708279303,True,1.2342213494129664,5.000575590254898,5.000575590254898,0.49738156174727904,5.497957152002177,0.4188670717296904,0.0,0.011635552474441532,3.0875837283594634,3.0875837283594634,0.00029367701173657005,0.011044665799866613,0.014936009103249877,0.006339018305208621,1.9928020968982576,3.1415791831124675,0.04636480402387562,0.004697380588276439,2.084054288909319e-05,6.182657324543151e-07,0.0030070620641464542,8.739171708279303
0.0,0.0,0.04322929402335623,75,0.5170222057679856,0.517022206285008,0.1863142479554415,0.1863142479554415,0.4445748832515285,0.63088913120697,0.0,0.01591280760424371,3.827244145535495,0.0,0.0712759605100394,0.0007529015511264506,0.14652153201315454,0.002041583671911611,1.0451838873041222,0.007430585948731326,0.71607191035249,0.48655817547798164,-0.48655817547798164,0.6425340343882818,0.1559758589103002,0.44431184873293267,0.00705871512133649,-0.00705871512133649,0.2679221026437201,0.2608633875223836,0.41106617811761675,0.7495688404740954,0.0021882476335232906,1.046778709190435,0.9568418949692933,0.9568418949692933,7.854357899024134e-05,0.8990831368330093,1.8559250318023026,3.97319422526259e-05,0.3090481757940121,0.6209641596761388,True,0.7484268333033433,0.38666744680129167,0.38666744680129167,0.49738156174727904,0.8840490085485707,0.0,0.0,0.008645858804671246,0.5170222057679856,0.5170222057679856,0.0,0.007956403802121856,0.0,0.009034818613517407,0.036630383003288636,0.012249502031469666,0.022215592436646635,0.004110661781176168,7.854357899024134e-06,3.97319422526259e-07,0.003090481757940121,0.6209641596761388
0.0,0.0,0.010518957474823757,100,0.38290504908983863,0.3829050494727437,0.03932259381970815,0.03932259381970815,0.4445748832515285,0.48389747707123665,0.0,0.01819961108638289,4.065431000547206,0.0,0.0371185234038551,0.00017236501331237123,0.10469390355355594,0.12052897766341839,0.6528271645658054,0.007463857051288605,0.71607191035249,0.15528574853500865,-0.15528574853500865,0.6425340343882818,0.4872482858532732,0.34585520904819156,0.1619007567883532,-0.1619007567883532,0.2679221026437201,0.10602134585536686,0.3274791626856446,0.4679370936361786,0.12007764430431579,0.653477786708679,0.8244287965639318,0.8244287965639318,7.357566055181112e-05,0.8990831368330093,1.723511933396941,3.9128968978301855e-05,0.5070217156676915,1.1711698862483304,True,0.4674712013889073,0.03907376131548307,0.03907376131548307,0.49738156174727904,0.5364553230627621,0.0,0.0,0.0021037914949647517,0.38290504908983863,0.38290504908983863,0.0,0.009099805543191446,0.0,0.002068380159748455,0.026173475888388986,0.7231738659805103,0.01729276045240958,0.003274791626856446,7.3575660551811125e-06,3.912896897830186e-07,0.0050702171566769155,1.1711698862483304
0.0,0.0,0.021825707278034862,125,0.4097285196147339,0.4097285200244624,0.06903167826947948,-0.06903167826947948,0.4445748832515285,0.375543204982049,0.0,0.00855201632550892,2.464059140882158,0.0,0.0594448424929661,0.0003393558998462262,0.0026629598909867426,0.08264224506407081,1.2874756425578884,0.011153470063923157,0.71607191035249,0.7454238228611642,-0.7454238228611642,0.6425340343882818,-0.10288978847288228,0.14690908825630805,0.4865575511969289,0.4865575511969289,0.2679221026437201,0.754479653840649,0.21114766011196034,0.9226184573365827,0.08319985089751872,1.2884438435770795,0.1531518216042217,0.1531518216042217,2.479512032950464e-05,0.8990831368330093,1.052234958437231,1.2414783425270068e-05,0.30588653727519116,0.9314795504349757,True,0.9219251557734831,0.13700920124606503,0.13700920124606503,0.49738156174727904,0.6343907629933441,0.0,0.0,0.004365141455606973,0.4097285196147339,0.4097285196147339,0.0,0.00427600816275446,0.0,0.004072270798154714,0.0006657399727466857,0.49585347038442484,0.007345454412815403,0.0021114766011196035,2.4795120329504643e-06,1.2414783425270067e-07,0.003058865372751912,0.9314795504349757
0.0,0.0,0.013830618688313853,150,0.3160097780143439,0.3160097783303537,0.19698710766816188,-0.19698710766816188,0.4445748832515285,0.24758777558336661,0.0,0.02241557425852618,2.4968246474664237,0.0009749382259147271,0.11122400079930064,0.0014831653184193925,0.0035837822688197145,0.008587038813949876,0.907333723426751,0.007214291553683106,0.71607191035249,0.476064946014658,-0.476064946014658,0.6425340343882818,0.16646908837362384,0.1500149414515882,0.40178364060029137,-0.40178364060029137,0.2679221026437201,-0.13386153795657127,0.4323105251097144,0.650024994306218,0.008507303590381281,0.9077649546518175,0.25111592347944833,-0.25111592347944833,3.162150003649718e-05,0.8990831368330093,0.647967213353561,1.636937369843666e-05,0.15083845843385618,0.41938504326045073,True,0.6497162017347686,0.09684960356980749,-0.09684960356980749,0.49738156174727904,0.40053195817747156,0.0,0.0,0.002766123737662771,0.3160097780143439,0.3160097780143439,0.0,0.01120778712926309,0.005849629355488363,0.01779798382103271,0.0008959455672049286,0.051522232883699254,0.00750074707257941,0.004323105251097144,3.1621500036497183e-06,1.6369373698436659e-07,0.001508384584338562,0.41938504326045073
0.0,0.0,0.03891433622356712,175,0.389923573917741,0.38992357430766456,0.037941182521027794,0.037941182521027794,0.4445748832515285,0.4825160657725563,0.0,0.0025314834478395746,2.5229336133845806,0.0,0.015889626556460573,3.490540044314357e-05,0.0162556658453265,0.024733171593894147,1.1572678339454516,0.0076535426616588225,0.71607191035249,0.5029187883656832,-0.5029187883656832,0.6425340343882818,0.13961524602259862,0.30404636961569836,0.4410542451609737,0.4410542451609737,0.2679221026437201,0.7089763478046938,0.13447700316179684,0.8294201692111651,0.02505626550030382,1.1582917101439738,0.3860104078617671,0.3860104078617671,5.225776336415271e-05,0.8990831368330093,1.2850935446947764,2.282796574430272e-05,0.25196770076159136,0.570926213292401,True,0.828687000215486,0.40286752888499106,0.40286752888499106,0.49738156174727904,0.9002490906322701,0.0,0.0,0.007782867244713424,0.389923573917741,0.389923573917741,0.0,0.0012657417239197873,0.0,0.0004188648053177228,0.004063916461331625,0.14839902956336487,0.015202318480784918,0.0013447700316179683,5.225776336415271e-06,2.2827965744302722e-07,0.0025196770076159137,0.570926213292401
0.0,0.0,0.04264459337136001,200,0.8852190410513585,0.8852190419365775,0.5142274104108439,0.5142274104108439,0.4445748832515285,0.9588022936623724,0.0,0.016837451981257724,4.7238227245646875,0.0,0.05176209691605074,0.0001424676899713988,0.4748166062104907,0.0005100311595121217,1.0225838694539293,0.005752316965155839,0.71607191035249,0.23923358590235916,-0.23923358590235916,0.6425340343882818,0.40330044848592267,1.1225095294132443,0.729594336710755,0.729594336710755,0.2679221026437201,0.9975164393544751,0.28066831553536575,0.7352679326394664,0.0007186356382445375,1.0268073802943245,1.6373126864951004,1.6373126864951004,0.00040609871405037213,0.8990831368330093,2.53639582332811,9.799692910249977e-05,0.42204744463529376,1.0888348604186764,True,0.7322435951213551,0.6191126660599087,0.6191126660599087,0.49738156174727904,1.1164942278071877,0.0,0.0,0.008528918674272001,0.8852190410513585,0.8852190410513585,0.0,0.008418725990628862,0.0,0.0017096122796567857,0.11870415155262268,0.0030601869570727304,0.05612547647066222,0.0028066831553536574,4.0609871405037216e-05,9.799692910249977e-07,0.004220474446352937,1.0888348604186764
0.0,0.0,0.04838781671131322,225,0.371692799082094,0.3716927994537868,0.0195290863597527,0.0195290863597527,0.4445748832515285,0.4641039696112812,1.6834377387970783e-05,0.014113901810368937,2.3743216499883744,0.0,0.05294895145584955,0.000616389961626952,0.038641920997759274,0.020036318362793758,1.1415497028000898,0.007407177703593411,0.71607191035249,0.46088837163136115,-0.46088837163136115,0.6425340343882818,0.18164566275692068,0.2821498313107488,0.15769334729813927,0.15769334729813927,0.2679221026437201,0.42561544994185935,0.28155901904948033,0.8182563511583081,0.020363675720053032,1.1427013515004432,0.5404730086009913,0.5404730086009913,3.759569315901353e-05,0.8990831368330093,1.4395561454340007,1.972234718824277e-05,0.10949973781987181,0.5438085911092256,True,0.8174316878618746,0.40124798404678824,0.40124798404678824,0.49738156174727904,0.8986295457940673,0.0,0.0,0.009677563342262644,0.371692799082094,0.371692799082094,8.417188693985391e-05,0.007056950905184468,0.0,0.007396679539523424,0.009660480249439819,0.12021791017676255,0.01410749156553744,0.0028155901904948033,3.7595693159013533e-06,1.972234718824277e-07,0.0010949973781987181,0.5438085911092256
0.0,0.0,0.0146187828897486,250,0.5217773741824111,0.5217773747041885,0.14500200010113407,0.14500200010113407,0.4445748832515285,0.5895768833526626,0.0,0.018075541878545896,5.4032157931643034,6.215898162589756e-05,0.08788409675396602,0.0015571649574694637,0.1760885200971259,0.007847110709630425,0.9114160809761138,0.005544598253296347,0.71607191035249,0.40716073263659597,-0.40716073263659597,0.6425340343882818,0.23537330175168586,0.4661912505164354,0.2349734819395885,-0.2349734819395885,0.2679221026437201,0.03294862070413157,0.36218433155291085,0.6530554051921558,0.007744537337749061,0.9119969469975668,1.039235892327984,1.039235892327984,0.00013900028601881908,0.8990831368330093,1.9383190291609935,3.998694539727712e-05,0.6126067607962292,0.6769744027084557,True,0.6526394633447063,0.19806293043858875,0.19806293043858875,0.49738156174727904,0.6954444921858678,0.0,0.0,0.00292375657794972,0.5217773741824111,0.5217773741824111,0.0,0.009037770939272948,0.00037295388975538534,0.018685979489633565,0.04402213002428147,0.04708266425778255,0.02330956252582177,0.0036218433155291085,1.390002860188191e-05,3.998694539727712e-07,0.006126067607962292,0.6769744027084557
