generation,generation_best_loss,cumulative_best_loss,convergence,eval_count
1,65.05122736762777,65.05122736762777,0.00013050617308713066,289
2,56.99947684953637,56.99947684953637,0.00012654789087799477,434
3,45.46426089305752,45.46426089305752,0.0001296842619553559,579
4,32.23448515040775,32.23448515040775,0.00012611670034228347,724
5,32.23448515040775,32.23448515040775,0.00013053003392160471,869
6,23.665782237030264,23.665782237030264,0.00014383843479915108,1014
7,23.665782237030264,23.665782237030264,0.00014058844937587262,1159
8,23.665782237030264,23.665782237030264,0.00013913513444292863,1304
9,23.665782237030264,23.665782237030264,0.0001412180252069652,1449
10,19.438371899480504,19.438371899480504,0.00014990875699971023,1594
11,19.438371899480504,19.438371899480504,0.00014085231841421853,1739
12,19.438371899480504,19.438371899480504,0.0001427678430603285,1884
13,19.438371899480504,19.438371899480504,0.00016166789836676314,2029
14,14.732392907585544,14.732392907585544,0.00015783162609916138,2174
15,10.213986576919584,10.213986576919584,0.00018755276431245632,2319
16,9.779652032737406,9.779652032737406,0.00019755578326129052,2464
17,9.779652032737406,9.779652032737406,0.00020433966019242048,2609
18,5.698791746080911,5.698791746080911,0.0001774610317633574,2754
19,5.5165895261373326,5.5165895261373326,0.00017154993760977054,2899
20,5.5165895261373326,5.5165895261373326,0.00018347798256683533,3044
21,5.5165895261373326,5.5165895261373326,0.0001884818472804789,3189
22,5.2884507127340825,5.2884507127340825,0.0001945226164203833,3334
23,2.2746035719931226,2.2746035719931226,0.00018924687510136177,3479
24,2.2746035719931226,2.2746035719931226,0.00019351522122116043,3624
25,2.2746035719931226,2.2746035719931226,0.0001855117242498204,3769
26,2.2746035719931226,2.2746035719931226,0.00018383946807709337,3914
27,0.7565504346273264,0.7565504346273264,0.0001811528031987791,4059
28,0.7565504346273264,0.7565504346273264,0.0001820521675586726,4204
29,0.7565504346273264,0.7565504346273264,0.0001557815657798282,4349
30,0.7565504346273264,0.7565504346273264,0.00016375482731116674,4494
31,0.7565504346273264,0.7565504346273264,0.00017809669426527365,4639
32,0.7565504346273264,0.7565504346273264,0.00018200149522052533,4784
33,0.7565504346273264,0.7565504346273264,0.0001930802177216542,4929
34,0.5417804036879855,0.5417804036879855,0.00018834958401454802,5074
35,0.5417804036879855,0.5417804036879855,0.00018982177005237932,5219
36,0.39121746593273765,0.39121746593273765,0.00018582495813945053,5364
37,0.39121746593273765,0.39121746593273765,0.00018549636986145486,5509
38,0.39121746593273765,0.39121746593273765,0.0001862678241319296,5654
39,0.36432785938131385,0.36432785938131385,0.0001757646916059619,5799
40,0.36432785938131385,0.36432785938131385,0.0001732985743050362,5944
41,0.36432785938131385,0.36432785938131385,0.00017942659687836975,6089
42,0.3343971298177315,0.3343971298177315,0.0001724365164811666,6234
43,0.3125841063881252,0.3125841063881252,0.00017294748232919555,6379
44,0.3125841063881252,0.3125841063881252,0.0001760146267425626,6524
45,0.3125841063881252,0.3125841063881252,0.00019355389348392696,6669
46,0.3125841063881252,0.3125841063881252,0.00019281482135225623,6814
47,0.3125841063881252,0.3125841063881252,0.00020843949934785139,6959
48,0.3125841063881252,0.3125841063881252,0.00021304101263722357,7104
49,0.3125841063881252,0.3125841063881252,0.00022430339709459464,7249
50,0.3125841063881252,0.3125841063881252,0.00022912490219909441,7394
51,0.3125841063881252,0.3125841063881252,0.00022920298817983027,7539
52,0.2799890537942645,0.2799890537942645,0.00022296942579900936,7684
53,0.15567071512995853,0.15567071512995853,0.00022155615925959242,7829
54,0.15567071512995853,0.15567071512995853,0.00022726509320238522,7974
55,0.15567071512995853,0.15567071512995853,0.00021638878672444785,8119
56,0.12512344893486307,0.12512344893486307,0.00021595403477452465,8264
57,0.12512344893486307,0.12512344893486307,0.00020952387040384132,8409
58,0.12512344893486307,0.12512344893486307,0.00021195117383876713,8554
59,0.12512344893486307,0.12512344893486307,0.00022174903096410672,8699
60,0.12512344893486307,0.12512344893486307,0.0002345175385099119,8844
61,0.12512344893486307,0.12512344893486307,0.000239256416425733,8989
62,0.12512344893486307,0.12512344893486307,0.00024033654646145474,9134
63,0.12512344893486307,0.12512344893486307,0.0002646303401642617,9279
64,0.10793112240016871,0.10793112240016871,0.00026983641837434284,9424
65,0.10793112240016871,0.10793112240016871,0.00027059507300650497,9569
66,0.10793112240016871,0.10793112240016871,0.0002670465599277998,9714
67,0.10793112240016871,0.10793112240016871,0.0002648380325376679,9859
68,0.10793112240016871,0.10793112240016871,0.00027859749028408986,10004
69,0.10793112240016871,0.10793112240016871,0.0002842799740725229,10149
70,0.08339000185512567,0.08339000185512567,0.00028015056219605767,10294
71,0.08339000185512567,0.08339000185512567,0.0002846250050669612,10439
72,0.08339000185512567,0.08339000185512567,0.0002946919988232299,10584
73,0.08339000185512567,0.08339000185512567,0.00029233511857049073,10729
74,0.08339000185512567,0.08339000185512567,0.0002909890101843875,10874
75,0.08339000185512567,0.08339000185512567,0.0002889490160415165,11019
76,0.08339000185512567,0.08339000185512567,0.00030910280568892704,11164
77,0.07375559403805496,0.07375559403805496,0.0003087255240614801,11309
78,0.07375559403805496,0.07375559403805496,0.0003010165298492139,11454
79,0.07375559403805496,0.07375559403805496,0.00030650072877312135,11599
80,0.07375559403805496,0.07375559403805496,0.0003171308024416786,11744
81,0.07375559403805496,0.07375559403805496,0.0003188057060974255,11889
82,0.07375559403805496,0.07375559403805496,0.00032076254600041837,12034
83,0.07375559403805496,0.07375559403805496,0.0003372317881182891,12179
84,0.07375559403805496,0.07375559403805496,0.00034020899316004454,12324
85,0.07375559403805496,0.07375559403805496,0.00035892400429384603,12469
86,0.07375559403805496,0.07375559403805496,0.00035080404588789827,12614
87,0.07375559403805496,0.07375559403805496,0.0003595015897243615,12759
88,0.07375559403805496,0.07375559403805496,0.00036573900611949604,12904
89,0.07375559403805496,0.07375559403805496,0.0003651155891264898,13049
90,0.07375559403805496,0.07375559403805496,0.00037075302215163397,13194
